,author,subsme,subs,like
0,/@sok/,274k,130k,1.9m
1,/@monscar/,108k,42.0k,961k
2,/profile/6qcjdnd7ez2c5r0t8dac7tgkz4/,7.3k,13.1k,734k
3,/profile/c7meaa6f8wjctgrndbqk34461m/,831,1.0k,6.5k
4,/profile/2kuvmcahthmd6nyeprh8y00t6g/,4.1k,16.0k,571k
5,/@ghost_latte/,6.3k,4.8k,73.0k
6,/profile/k0wb3kdhbk2xwpx0407v96q10w/,62.7k,20.8k,356k
7,/@elistratovv/,41.2k,25.8k,382k
8,/@food/,84.6k,52.3k,638k
9,/profile/qcfuqkxxta6twk29zw4b86x5f0/,735,657,5.0k
10,/profile/jbfnn8r7xm51p2rwqbnr78ay0r/,10.3k,9.5k,257k
11,/@kapotov/,107k,108k,4.2m
12,/@oliapankova/,48.0k,20.5k,247k
13,/@aqua_man/,18.8k,11.2k,150k
14,/@v/,74.5k,46.1k,487k
15,/@axiscat/,65.1k,131k,2.9m
16,/profile/n14620b82z8fyrhf2wkaq2fhqm/,17.5k,13.9k,713k
17,/@winterflower/,22.6k,7.4k,17.4k
18,/profile/dd0bnm8egwuwc11h0e41dpjm20/,104k,40.6k,687k
19,/@lenagora/,21.6k,8.0k,86.7k
20,/profile/pgpda1r6htp8cbn5jwp9d3ywc0/,53.1k,19.6k,312k
21,/@wow/,122k,36.0k,261k
22,/@aiuncle/,199k,54.6k,265k
23,/@birdofhappiness/,57.8k,52.8k,1.2m
24,/@panda/,167k,61.2k,1.1m
25,/profile/zfacvfannfewd9e14rnff9wfac/,80.4k,26.9k,840k
26,/@aurora_rufus/,94.4k,63.2k,1.1m
27,/profile/n5j8nc0j6mxyxe608d3ryxqgzg/,100k,40.5k,1.0m
28,/@yummy_yummy/,72.4k,27.8k,338k
29,/profile/p3n8e6w1jxwmx9xfrutmjxh2j0/,9.4k,10.1k,425k
30,/profile/mccbq00ppxy192n1wnqqbk6cbr/,41.8k,20.2k,322k
